period,stateid,stateDescription,sectorid,sectorName,sales,sales-units
2015-01-01,NH,New Hampshire,RES,residential,459.49622,million kilowatt hours
2014-12-01,NH,New Hampshire,RES,residential,391.20677,million kilowatt hours
2014-11-01,NH,New Hampshire,RES,residential,327.913,million kilowatt hours
2014-10-01,NH,New Hampshire,RES,residential,311.02925,million kilowatt hours
2014-09-01,NH,New Hampshire,RES,residential,368.19329,million kilowatt hours
2014-08-01,NH,New Hampshire,RES,residential,399.51392,million kilowatt hours
2014-07-01,NH,New Hampshire,RES,residential,397.38648,million kilowatt hours
2014-06-01,NH,New Hampshire,RES,residential,311.66737,million kilowatt hours
2014-05-01,NH,New Hampshire,RES,residential,314.85244,million kilowatt hours
2014-04-01,NH,New Hampshire,RES,residential,354.85968,million kilowatt hours
2014-03-01,NH,New Hampshire,RES,residential,401.5506,million kilowatt hours
2014-02-01,NH,New Hampshire,RES,residential,452.65902,million kilowatt hours
2014-01-01,NH,New Hampshire,RES,residential,479.65517,million kilowatt hours
2024-12-01,NH,New Hampshire,COM,commercial,345.69961,million kilowatt hours
2024-11-01,NH,New Hampshire,COM,commercial,330.83612,million kilowatt hours
2024-10-01,NH,New Hampshire,COM,commercial,323.36089,million kilowatt hours
2024-09-01,NH,New Hampshire,COM,commercial,333.59419,million kilowatt hours
2024-08-01,NH,New Hampshire,COM,commercial,370.66154,million kilowatt hours
2024-07-01,NH,New Hampshire,COM,commercial,413.05662,million kilowatt hours
2024-06-01,NH,New Hampshire,COM,commercial,360.69937,million kilowatt hours
2024-05-01,NH,New Hampshire,COM,commercial,312.73263,million kilowatt hours
2024-04-01,NH,New Hampshire,COM,commercial,304.30619,million kilowatt hours
2024-03-01,NH,New Hampshire,COM,commercial,321.32806,million kilowatt hours
2024-02-01,NH,New Hampshire,COM,commercial,337.20296,million kilowatt hours
2024-01-01,NH,New Hampshire,COM,commercial,351.68882,million kilowatt hours
2023-12-01,NH,New Hampshire,COM,commercial,330.83122,million kilowatt hours
2023-11-01,NH,New Hampshire,COM,commercial,324.38068,million kilowatt hours
2023-10-01,NH,New Hampshire,COM,commercial,322.01621,million kilowatt hours
2023-09-01,NH,New Hampshire,COM,commercial,349.47641,million kilowatt hours
2023-08-01,NH,New Hampshire,COM,commercial,368.61078,million kilowatt hours
2023-07-01,NH,New Hampshire,COM,commercial,394.14087,million kilowatt hours
2023-06-01,NH,New Hampshire,COM,commercial,333.46359,million kilowatt hours
2023-05-01,NH,New Hampshire,COM,commercial,313.27808,million kilowatt hours
2023-04-01,NH,New Hampshire,COM,commercial,306.83992,million kilowatt hours
2023-03-01,NH,New Hampshire,COM,commercial,332.56555,million kilowatt hours
2023-02-01,NH,New Hampshire,COM,commercial,331.98701,million kilowatt hours
2023-01-01,NH,New Hampshire,COM,commercial,343.0287,million kilowatt hours
2022-12-01,NH,New Hampshire,COM,commercial,344.24617,million kilowatt hours
2022-11-01,NH,New Hampshire,COM,commercial,305.92077,million kilowatt hours
2022-10-01,NH,New Hampshire,COM,commercial,304.05001,million kilowatt hours
2022-09-01,NH,New Hampshire,COM,commercial,343.94197,million kilowatt hours
2022-08-01,NH,New Hampshire,COM,commercial,391.04132,million kilowatt hours
2022-07-01,NH,New Hampshire,COM,commercial,399.29644,million kilowatt hours
2022-06-01,NH,New Hampshire,COM,commercial,342.27528,million kilowatt hours
2022-05-01,NH,New Hampshire,COM,commercial,323.71744,million kilowatt hours
2022-04-01,NH,New Hampshire,COM,commercial,305.07929,million kilowatt hours
2022-03-01,NH,New Hampshire,COM,commercial,334.97567,million kilowatt hours
2022-02-01,NH,New Hampshire,COM,commercial,322.48197,million kilowatt hours
2022-01-01,NH,New Hampshire,COM,commercial,367.59867,million kilowatt hours
2021-12-01,NH,New Hampshire,COM,commercial,339.01335,million kilowatt hours
2021-11-01,NH,New Hampshire,COM,commercial,325.64807,million kilowatt hours
2021-10-01,NH,New Hampshire,COM,commercial,335.62853,million kilowatt hours
2021-09-01,NH,New Hampshire,COM,commercial,340.89724,million kilowatt hours
2021-08-01,NH,New Hampshire,COM,commercial,401.3331,million kilowatt hours
2021-07-01,NH,New Hampshire,COM,commercial,368.12823,million kilowatt hours
2021-06-01,NH,New Hampshire,COM,commercial,371.2317,million kilowatt hours
2021-05-01,NH,New Hampshire,COM,commercial,315.93001,million kilowatt hours
2021-04-01,NH,New Hampshire,COM,commercial,306.17914,million kilowatt hours
2021-03-01,NH,New Hampshire,COM,commercial,332.65092,million kilowatt hours
2021-02-01,NH,New Hampshire,COM,commercial,323.53878,million kilowatt hours
2021-01-01,NH,New Hampshire,COM,commercial,346.51292,million kilowatt hours
2020-12-01,NH,New Hampshire,COM,commercial,345.69955,million kilowatt hours
2020-11-01,NH,New Hampshire,COM,commercial,306.62536,million kilowatt hours
2020-10-01,NH,New Hampshire,COM,commercial,322.12247,million kilowatt hours
2020-09-01,NH,New Hampshire,COM,commercial,347.64403,million kilowatt hours
2020-08-01,NH,New Hampshire,COM,commercial,355.98239,million kilowatt hours
2020-07-01,NH,New Hampshire,COM,commercial,397.04093,million kilowatt hours
2020-06-01,NH,New Hampshire,COM,commercial,334.72528,million kilowatt hours
2020-05-01,NH,New Hampshire,COM,commercial,285.19008,million kilowatt hours
2020-04-01,NH,New Hampshire,COM,commercial,287.22102,million kilowatt hours
2020-03-01,NH,New Hampshire,COM,commercial,333.53958,million kilowatt hours
2020-02-01,NH,New Hampshire,COM,commercial,342.57058,million kilowatt hours
2020-01-01,NH,New Hampshire,COM,commercial,371.34776,million kilowatt hours
2019-12-01,NH,New Hampshire,COM,commercial,365.72453,million kilowatt hours
2019-11-01,NH,New Hampshire,COM,commercial,331.49457,million kilowatt hours
2019-10-01,NH,New Hampshire,COM,commercial,341.32224,million kilowatt hours
2019-09-01,NH,New Hampshire,COM,commercial,353.5645,million kilowatt hours
2019-08-01,NH,New Hampshire,COM,commercial,390.44428,million kilowatt hours
2019-07-01,NH,New Hampshire,COM,commercial,420.30585,million kilowatt hours
2019-06-01,NH,New Hampshire,COM,commercial,351.71864,million kilowatt hours
2019-05-01,NH,New Hampshire,COM,commercial,337.04881,million kilowatt hours
2019-04-01,NH,New Hampshire,COM,commercial,323.63943,million kilowatt hours
2019-03-01,NH,New Hampshire,COM,commercial,352.49253,million kilowatt hours
2019-02-01,NH,New Hampshire,COM,commercial,336.78213,million kilowatt hours
2019-01-01,NH,New Hampshire,COM,commercial,376.3165,million kilowatt hours
2018-12-01,NH,New Hampshire,COM,commercial,369.17991,million kilowatt hours
2018-11-01,NH,New Hampshire,COM,commercial,348.4993,million kilowatt hours
2018-10-01,NH,New Hampshire,COM,commercial,359.86098,million kilowatt hours
2018-09-01,NH,New Hampshire,COM,commercial,382.58988,million kilowatt hours
2018-08-01,NH,New Hampshire,COM,commercial,433.51376,million kilowatt hours
2018-07-01,NH,New Hampshire,COM,commercial,422.08916,million kilowatt hours
2018-06-01,NH,New Hampshire,COM,commercial,369.15943,million kilowatt hours
2018-05-01,NH,New Hampshire,COM,commercial,351.4281,million kilowatt hours
2018-04-01,NH,New Hampshire,COM,commercial,326.47803,million kilowatt hours
2018-03-01,NH,New Hampshire,COM,commercial,357.27751,million kilowatt hours
2018-02-01,NH,New Hampshire,COM,commercial,343.12905,million kilowatt hours
2018-01-01,NH,New Hampshire,COM,commercial,379.3549,million kilowatt hours
2017-12-01,NH,New Hampshire,COM,commercial,377.54324,million kilowatt hours
2017-11-01,NH,New Hampshire,COM,commercial,346.09065,million kilowatt hours
2017-10-01,NH,New Hampshire,COM,commercial,353.71064,million kilowatt hours
2017-09-01,NH,New Hampshire,COM,commercial,373.50814,million kilowatt hours
2017-08-01,NH,New Hampshire,COM,commercial,400.76121,million kilowatt hours
2017-07-01,NH,New Hampshire,COM,commercial,397.81947,million kilowatt hours
2017-06-01,NH,New Hampshire,COM,commercial,367.58228,million kilowatt hours
2017-05-01,NH,New Hampshire,COM,commercial,329.19215,million kilowatt hours
2017-04-01,NH,New Hampshire,COM,commercial,356.47804,million kilowatt hours
2017-03-01,NH,New Hampshire,COM,commercial,352.62953,million kilowatt hours
2017-02-01,NH,New Hampshire,COM,commercial,341.25482,million kilowatt hours
2017-01-01,NH,New Hampshire,COM,commercial,393.26785,million kilowatt hours
2016-12-01,NH,New Hampshire,COM,commercial,355.70811,million kilowatt hours
2016-11-01,NH,New Hampshire,COM,commercial,330.78703,million kilowatt hours
2016-10-01,NH,New Hampshire,COM,commercial,360.27625,million kilowatt hours
2016-09-01,NH,New Hampshire,COM,commercial,415.27234,million kilowatt hours
2016-08-01,NH,New Hampshire,COM,commercial,428.88677,million kilowatt hours
2016-07-01,NH,New Hampshire,COM,commercial,409.36135,million kilowatt hours
2016-06-01,NH,New Hampshire,COM,commercial,369.23996,million kilowatt hours
2016-05-01,NH,New Hampshire,COM,commercial,327.42394,million kilowatt hours
2016-04-01,NH,New Hampshire,COM,commercial,350.55273,million kilowatt hours
2016-03-01,NH,New Hampshire,COM,commercial,374.84764,million kilowatt hours
2016-02-01,NH,New Hampshire,COM,commercial,373.35841,million kilowatt hours
2016-01-01,NH,New Hampshire,COM,commercial,370.47748,million kilowatt hours
2015-12-01,NH,New Hampshire,COM,commercial,346.18299,million kilowatt hours
2015-11-01,NH,New Hampshire,COM,commercial,342.4255,million kilowatt hours
2015-10-01,NH,New Hampshire,COM,commercial,366.08937,million kilowatt hours
2015-09-01,NH,New Hampshire,COM,commercial,409.35406,million kilowatt hours
2015-08-01,NH,New Hampshire,COM,commercial,422.04271,million kilowatt hours
2015-07-01,NH,New Hampshire,COM,commercial,398.71558,million kilowatt hours
2015-06-01,NH,New Hampshire,COM,commercial,400.73264,million kilowatt hours
2015-05-01,NH,New Hampshire,COM,commercial,337.03702,million kilowatt hours
2015-04-01,NH,New Hampshire,COM,commercial,345.9105,million kilowatt hours
2015-03-01,NH,New Hampshire,COM,commercial,367.15769,million kilowatt hours
2015-02-01,NH,New Hampshire,COM,commercial,375.35251,million kilowatt hours
2015-01-01,NH,New Hampshire,COM,commercial,380.17244,million kilowatt hours
2014-12-01,NH,New Hampshire,COM,commercial,384.657,million kilowatt hours
2014-11-01,NH,New Hampshire,COM,commercial,335.12637,million kilowatt hours
2014-10-01,NH,New Hampshire,COM,commercial,354.28064,million kilowatt hours
2014-09-01,NH,New Hampshire,COM,commercial,390.47537,million kilowatt hours
2014-08-01,NH,New Hampshire,COM,commercial,397.61526,million kilowatt hours
2014-07-01,NH,New Hampshire,COM,commercial,403.14617,million kilowatt hours
2014-06-01,NH,New Hampshire,COM,commercial,356.83793,million kilowatt hours
2014-05-01,NH,New Hampshire,COM,commercial,342.26022,million kilowatt hours
2014-04-01,NH,New Hampshire,COM,commercial,355.13809,million kilowatt hours
2014-03-01,NH,New Hampshire,COM,commercial,356.10075,million kilowatt hours
2014-02-01,NH,New Hampshire,COM,commercial,395.48643,million kilowatt hours
2014-01-01,NH,New Hampshire,COM,commercial,393.40577,million kilowatt hours
2024-12-01,RI,Rhode Island,RES,residential,244.1256,million kilowatt hours
2024-11-01,RI,Rhode Island,RES,residential,207.702,million kilowatt hours
2024-10-01,RI,Rhode Island,RES,residential,235.22439,million kilowatt hours
2024-09-01,RI,Rhode Island,RES,residential,247.20029,million kilowatt hours
2024-08-01,RI,Rhode Island,RES,residential,373.71154,million kilowatt hours
2024-07-01,RI,Rhode Island,RES,residential,379.8115,million kilowatt hours
2024-06-01,RI,Rhode Island,RES,residential,241.29404,million kilowatt hours
2024-05-01,RI,Rhode Island,RES,residential,207.9311,million kilowatt hours
2024-04-01,RI,Rhode Island,RES,residential,210.00388,million kilowatt hours
2024-03-01,RI,Rhode Island,RES,residential,229.6819,million kilowatt hours
2024-02-01,RI,Rhode Island,RES,residential,246.72045,million kilowatt hours
2024-01-01,RI,Rhode Island,RES,residential,287.92531,million kilowatt hours
2023-12-01,RI,Rhode Island,RES,residential,238.15896,million kilowatt hours
2023-11-01,RI,Rhode Island,RES,residential,221.77753,million kilowatt hours
2023-10-01,RI,Rhode Island,RES,residential,218.69195,million kilowatt hours
2023-09-01,RI,Rhode Island,RES,residential,291.76449,million kilowatt hours
2023-08-01,RI,Rhode Island,RES,residential,316.66583,million kilowatt hours
2023-07-01,RI,Rhode Island,RES,residential,370.60045,million kilowatt hours
2023-06-01,RI,Rhode Island,RES,residential,232.05289,million kilowatt hours
2023-05-01,RI,Rhode Island,RES,residential,175.97386,million kilowatt hours
2023-04-01,RI,Rhode Island,RES,residential,190.69044,million kilowatt hours
2023-03-01,RI,Rhode Island,RES,residential,235.51285,million kilowatt hours
2023-02-01,RI,Rhode Island,RES,residential,232.88406,million kilowatt hours
2023-01-01,RI,Rhode Island,RES,residential,270.38869,million kilowatt hours
2022-12-01,RI,Rhode Island,RES,residential,257.3095,million kilowatt hours
2022-11-01,RI,Rhode Island,RES,residential,212.52607,million kilowatt hours
2022-10-01,RI,Rhode Island,RES,residential,201.5044,million kilowatt hours
2022-09-01,RI,Rhode Island,RES,residential,262.11683,million kilowatt hours
2022-08-01,RI,Rhode Island,RES,residential,383.40439,million kilowatt hours
2022-07-01,RI,Rhode Island,RES,residential,375.06287,million kilowatt hours
2022-06-01,RI,Rhode Island,RES,residential,195.27368,million kilowatt hours
2022-05-01,RI,Rhode Island,RES,residential,234.28575,million kilowatt hours
2022-04-01,RI,Rhode Island,RES,residential,274.77302,million kilowatt hours
2022-03-01,RI,Rhode Island,RES,residential,244.48791,million kilowatt hours
2022-02-01,RI,Rhode Island,RES,residential,243.77856,million kilowatt hours
2022-01-01,RI,Rhode Island,RES,residential,283.81601,million kilowatt hours
2021-12-01,RI,Rhode Island,RES,residential,232.55563,million kilowatt hours
2021-11-01,RI,Rhode Island,RES,residential,213.1157,million kilowatt hours
2021-10-01,RI,Rhode Island,RES,residential,230.72246,million kilowatt hours
2021-09-01,RI,Rhode Island,RES,residential,271.40854,million kilowatt hours
2021-08-01,RI,Rhode Island,RES,residential,366.51108,million kilowatt hours
2021-07-01,RI,Rhode Island,RES,residential,323.38469,million kilowatt hours
2021-06-01,RI,Rhode Island,RES,residential,294.81777,million kilowatt hours
2021-05-01,RI,Rhode Island,RES,residential,210.67709,million kilowatt hours
2021-04-01,RI,Rhode Island,RES,residential,203.28745,million kilowatt hours
2021-03-01,RI,Rhode Island,RES,residential,242.01599,million kilowatt hours
2021-02-01,RI,Rhode Island,RES,residential,255.38637,million kilowatt hours
2021-01-01,RI,Rhode Island,RES,residential,287.65025,million kilowatt hours
2020-12-01,RI,Rhode Island,RES,residential,263.01133,million kilowatt hours
2020-11-01,RI,Rhode Island,RES,residential,218.1853,million kilowatt hours
2020-10-01,RI,Rhode Island,RES,residential,220.8081,million kilowatt hours
2020-09-01,RI,Rhode Island,RES,residential,269.73621,million kilowatt hours
2020-08-01,RI,Rhode Island,RES,residential,383.36951,million kilowatt hours
2020-07-01,RI,Rhode Island,RES,residential,394.82269,million kilowatt hours
2020-06-01,RI,Rhode Island,RES,residential,269.6757,million kilowatt hours
2020-05-01,RI,Rhode Island,RES,residential,222.52465,million kilowatt hours
2020-04-01,RI,Rhode Island,RES,residential,208.43811,million kilowatt hours
2020-03-01,RI,Rhode Island,RES,residential,213.07531,million kilowatt hours
2020-02-01,RI,Rhode Island,RES,residential,225.37504,million kilowatt hours
2020-01-01,RI,Rhode Island,RES,residential,258.99907,million kilowatt hours
2019-12-01,RI,Rhode Island,RES,residential,254.38118,million kilowatt hours
2019-11-01,RI,Rhode Island,RES,residential,209.7327,million kilowatt hours
2019-10-01,RI,Rhode Island,RES,residential,205.49078,million kilowatt hours
2019-09-01,RI,Rhode Island,RES,residential,243.03077,million kilowatt hours
2019-08-01,RI,Rhode Island,RES,residential,334.60764,million kilowatt hours
2019-07-01,RI,Rhode Island,RES,residential,351.42755,million kilowatt hours
2019-06-01,RI,Rhode Island,RES,residential,225.24103,million kilowatt hours
2019-05-01,RI,Rhode Island,RES,residential,210.52814,million kilowatt hours
2019-04-01,RI,Rhode Island,RES,residential,195.33325,million kilowatt hours
2019-03-01,RI,Rhode Island,RES,residential,234.97694,million kilowatt hours
2019-02-01,RI,Rhode Island,RES,residential,238.44411,million kilowatt hours
2019-01-01,RI,Rhode Island,RES,residential,279.81792,million kilowatt hours
2018-12-01,RI,Rhode Island,RES,residential,250.86966,million kilowatt hours
2018-11-01,RI,Rhode Island,RES,residential,231.75716,million kilowatt hours
2018-10-01,RI,Rhode Island,RES,residential,221.05738,million kilowatt hours
2018-09-01,RI,Rhode Island,RES,residential,279.80966,million kilowatt hours
2018-08-01,RI,Rhode Island,RES,residential,378.36483,million kilowatt hours
2018-07-01,RI,Rhode Island,RES,residential,360.96582,million kilowatt hours
2018-06-01,RI,Rhode Island,RES,residential,232.53465,million kilowatt hours
2018-05-01,RI,Rhode Island,RES,residential,211.11748,million kilowatt hours
2018-04-01,RI,Rhode Island,RES,residential,217.43951,million kilowatt hours
2018-03-01,RI,Rhode Island,RES,residential,232.551,million kilowatt hours
2018-02-01,RI,Rhode Island,RES,residential,234.08001,million kilowatt hours
2018-01-01,RI,Rhode Island,RES,residential,273.62086,million kilowatt hours
2017-12-01,RI,Rhode Island,RES,residential,294.2777,million kilowatt hours
2017-11-01,RI,Rhode Island,RES,residential,224.12425,million kilowatt hours
2017-10-01,RI,Rhode Island,RES,residential,203.44333,million kilowatt hours
2017-09-01,RI,Rhode Island,RES,residential,259.74392,million kilowatt hours
2017-08-01,RI,Rhode Island,RES,residential,311.56744,million kilowatt hours
2017-07-01,RI,Rhode Island,RES,residential,320.10437,million kilowatt hours
2017-06-01,RI,Rhode Island,RES,residential,248.75223,million kilowatt hours
2017-05-01,RI,Rhode Island,RES,residential,211.14636,million kilowatt hours
2017-04-01,RI,Rhode Island,RES,residential,209.44459,million kilowatt hours
2017-03-01,RI,Rhode Island,RES,residential,249.6915,million kilowatt hours
2017-02-01,RI,Rhode Island,RES,residential,230.83652,million kilowatt hours
2017-01-01,RI,Rhode Island,RES,residential,265.13477,million kilowatt hours
2016-12-01,RI,Rhode Island,RES,residential,246.75807,million kilowatt hours
2016-11-01,RI,Rhode Island,RES,residential,214.15706,million kilowatt hours
2016-10-01,RI,Rhode Island,RES,residential,218.70317,million kilowatt hours
2016-09-01,RI,Rhode Island,RES,residential,273.64773,million kilowatt hours
2016-08-01,RI,Rhode Island,RES,residential,369.10762,million kilowatt hours
2016-07-01,RI,Rhode Island,RES,residential,348.64442,million kilowatt hours
2016-06-01,RI,Rhode Island,RES,residential,244.10345,million kilowatt hours
2016-05-01,RI,Rhode Island,RES,residential,204.43932,million kilowatt hours
2016-04-01,RI,Rhode Island,RES,residential,210.00603,million kilowatt hours
2016-03-01,RI,Rhode Island,RES,residential,234.41297,million kilowatt hours
2016-02-01,RI,Rhode Island,RES,residential,236.93664,million kilowatt hours
2016-01-01,RI,Rhode Island,RES,residential,280.64551,million kilowatt hours
2015-12-01,RI,Rhode Island,RES,residential,250.51503,million kilowatt hours
2015-11-01,RI,Rhode Island,RES,residential,216.09353,million kilowatt hours
2015-10-01,RI,Rhode Island,RES,residential,227.20472,million kilowatt hours
2015-09-01,RI,Rhode Island,RES,residential,276.84856,million kilowatt hours
2015-08-01,RI,Rhode Island,RES,residential,342.28854,million kilowatt hours
2015-07-01,RI,Rhode Island,RES,residential,319.74474,million kilowatt hours
2015-06-01,RI,Rhode Island,RES,residential,238.70951,million kilowatt hours
2015-05-01,RI,Rhode Island,RES,residential,212.10668,million kilowatt hours
2015-04-01,RI,Rhode Island,RES,residential,210.0325,million kilowatt hours
2015-03-01,RI,Rhode Island,RES,residential,263.39023,million kilowatt hours
2015-02-01,RI,Rhode Island,RES,residential,278.86094,million kilowatt hours
2015-01-01,RI,Rhode Island,RES,residential,299.71103,million kilowatt hours
2014-12-01,RI,Rhode Island,RES,residential,262.216,million kilowatt hours
2014-11-01,RI,Rhode Island,RES,residential,226.87196,million kilowatt hours
2014-10-01,RI,Rhode Island,RES,residential,212.13105,million kilowatt hours
2014-09-01,RI,Rhode Island,RES,residential,266.76228,million kilowatt hours
2014-08-01,RI,Rhode Island,RES,residential,273.0101,million kilowatt hours
2014-07-01,RI,Rhode Island,RES,residential,329.54761,million kilowatt hours
2014-06-01,RI,Rhode Island,RES,residential,235.6473,million kilowatt hours
2014-05-01,RI,Rhode Island,RES,residential,210.60154,million kilowatt hours
2014-04-01,RI,Rhode Island,RES,residential,217.25908,million kilowatt hours
2014-03-01,RI,Rhode Island,RES,residential,281.89215,million kilowatt hours
2014-02-01,RI,Rhode Island,RES,residential,246.42734,million kilowatt hours
2014-01-01,RI,Rhode Island,RES,residential,307.98059,million kilowatt hours
2024-12-01,RI,Rhode Island,COM,commercial,248.63496,million kilowatt hours
2024-11-01,RI,Rhode Island,COM,commercial,233.5238,million kilowatt hours
2024-10-01,RI,Rhode Island,COM,commercial,296.25064,million kilowatt hours
2024-09-01,RI,Rhode Island,COM,commercial,312.52807,million kilowatt hours
2024-08-01,RI,Rhode Island,COM,commercial,365.26655,million kilowatt hours
2024-07-01,RI,Rhode Island,COM,commercial,395.08364,million kilowatt hours
2024-06-01,RI,Rhode Island,COM,commercial,331.94468,million kilowatt hours
2024-05-01,RI,Rhode Island,COM,commercial,304.99905,million kilowatt hours
2024-04-01,RI,Rhode Island,COM,commercial,283.39176,million kilowatt hours
2024-03-01,RI,Rhode Island,COM,commercial,302.83896,million kilowatt hours
2024-02-01,RI,Rhode Island,COM,commercial,283.36554,million kilowatt hours
2024-01-01,RI,Rhode Island,COM,commercial,308.49233,million kilowatt hours
2023-12-01,RI,Rhode Island,COM,commercial,276.36587,million kilowatt hours
2023-11-01,RI,Rhode Island,COM,commercial,281.60261,million kilowatt hours
2023-10-01,RI,Rhode Island,COM,commercial,293.9945,million kilowatt hours
2023-09-01,RI,Rhode Island,COM,commercial,334.23508,million kilowatt hours
2023-08-01,RI,Rhode Island,COM,commercial,337.00538,million kilowatt hours
2023-07-01,RI,Rhode Island,COM,commercial,369.79154,million kilowatt hours
2023-06-01,RI,Rhode Island,COM,commercial,330.15577,million kilowatt hours
2023-05-01,RI,Rhode Island,COM,commercial,315.89062,million kilowatt hours
2023-04-01,RI,Rhode Island,COM,commercial,267.51328,million kilowatt hours
2023-03-01,RI,Rhode Island,COM,commercial,295.14083,million kilowatt hours
2023-02-01,RI,Rhode Island,COM,commercial,256.34059,million kilowatt hours
2023-01-01,RI,Rhode Island,COM,commercial,292.53793,million kilowatt hours
2022-12-01,RI,Rhode Island,COM,commercial,305.65671,million kilowatt hours
2022-11-01,RI,Rhode Island,COM,commercial,286.57469,million kilowatt hours
2022-10-01,RI,Rhode Island,COM,commercial,292.98252,million kilowatt hours
2022-09-01,RI,Rhode Island,COM,commercial,312.58612,million kilowatt hours
2022-08-01,RI,Rhode Island,COM,commercial,358.71288,million kilowatt hours
2022-07-01,RI,Rhode Island,COM,commercial,363.56964,million kilowatt hours
2022-06-01,RI,Rhode Island,COM,commercial,288.47228,million kilowatt hours
2022-05-01,RI,Rhode Island,COM,commercial,317.28972,million kilowatt hours
2022-04-01,RI,Rhode Island,COM,commercial,328.98707,million kilowatt hours
2022-03-01,RI,Rhode Island,COM,commercial,311.22078,million kilowatt hours
2022-02-01,RI,Rhode Island,COM,commercial,277.47855,million kilowatt hours
2022-01-01,RI,Rhode Island,COM,commercial,302.10204,million kilowatt hours
2021-12-01,RI,Rhode Island,COM,commercial,287.56738,million kilowatt hours
2021-11-01,RI,Rhode Island,COM,commercial,280.50152,million kilowatt hours
2021-10-01,RI,Rhode Island,COM,commercial,288.83277,million kilowatt hours
2021-09-01,RI,Rhode Island,COM,commercial,301.08863,million kilowatt hours
2021-08-01,RI,Rhode Island,COM,commercial,363.46738,million kilowatt hours
2021-07-01,RI,Rhode Island,COM,commercial,343.85854,million kilowatt hours
2021-06-01,RI,Rhode Island,COM,commercial,333.96615,million kilowatt hours
2021-05-01,RI,Rhode Island,COM,commercial,277.34588,million kilowatt hours
2021-04-01,RI,Rhode Island,COM,commercial,266.18774,million kilowatt hours
2021-03-01,RI,Rhode Island,COM,commercial,297.53826,million kilowatt hours
2021-02-01,RI,Rhode Island,COM,commercial,273.69867,million kilowatt hours
2021-01-01,RI,Rhode Island,COM,commercial,290.46508,million kilowatt hours
2020-12-01,RI,Rhode Island,COM,commercial,298.69629,million kilowatt hours
2020-11-01,RI,Rhode Island,COM,commercial,254.18305,million kilowatt hours
2020-10-01,RI,Rhode Island,COM,commercial,278.90808,million kilowatt hours
2020-09-01,RI,Rhode Island,COM,commercial,297.25967,million kilowatt hours
2020-08-01,RI,Rhode Island,COM,commercial,323.79171,million kilowatt hours
2020-07-01,RI,Rhode Island,COM,commercial,350.41724,million kilowatt hours
2020-06-01,RI,Rhode Island,COM,commercial,317.31083,million kilowatt hours
2020-05-01,RI,Rhode Island,COM,commercial,281.63248,million kilowatt hours
2020-04-01,RI,Rhode Island,COM,commercial,274.32501,million kilowatt hours
2020-03-01,RI,Rhode Island,COM,commercial,309.40958,million kilowatt hours
2020-02-01,RI,Rhode Island,COM,commercial,269.8455,million kilowatt hours
2020-01-01,RI,Rhode Island,COM,commercial,295.48258,million kilowatt hours
2019-12-01,RI,Rhode Island,COM,commercial,300.77805,million kilowatt hours
2019-11-01,RI,Rhode Island,COM,commercial,289.07072,million kilowatt hours
2019-10-01,RI,Rhode Island,COM,commercial,292.35096,million kilowatt hours
2019-09-01,RI,Rhode Island,COM,commercial,292.95169,million kilowatt hours
2019-08-01,RI,Rhode Island,COM,commercial,347.24386,million kilowatt hours
2019-07-01,RI,Rhode Island,COM,commercial,375.38919,million kilowatt hours
2019-06-01,RI,Rhode Island,COM,commercial,305.7337,million kilowatt hours
2019-05-01,RI,Rhode Island,COM,commercial,283.10877,million kilowatt hours
2019-04-01,RI,Rhode Island,COM,commercial,281.74297,million kilowatt hours
2019-03-01,RI,Rhode Island,COM,commercial,287.77348,million kilowatt hours
2019-02-01,RI,Rhode Island,COM,commercial,276.34037,million kilowatt hours
2019-01-01,RI,Rhode Island,COM,commercial,311.99824,million kilowatt hours
2018-12-01,RI,Rhode Island,COM,commercial,297.95237,million kilowatt hours
2018-11-01,RI,Rhode Island,COM,commercial,293.7553,million kilowatt hours
2018-10-01,RI,Rhode Island,COM,commercial,292.44503,million kilowatt hours
2018-09-01,RI,Rhode Island,COM,commercial,303.46061,million kilowatt hours
2018-08-01,RI,Rhode Island,COM,commercial,372.36113,million kilowatt hours
2018-07-01,RI,Rhode Island,COM,commercial,364.41787,million kilowatt hours
2018-06-01,RI,Rhode Island,COM,commercial,309.0087,million kilowatt hours
2018-05-01,RI,Rhode Island,COM,commercial,282.73608,million kilowatt hours
2018-04-01,RI,Rhode Island,COM,commercial,279.50681,million kilowatt hours
2018-03-01,RI,Rhode Island,COM,commercial,292.50317,million kilowatt hours
2018-02-01,RI,Rhode Island,COM,commercial,274.27442,million kilowatt hours
2018-01-01,RI,Rhode Island,COM,commercial,335.16552,million kilowatt hours
2017-12-01,RI,Rhode Island,COM,commercial,300.24619,million kilowatt hours
2017-11-01,RI,Rhode Island,COM,commercial,283.8571,million kilowatt hours
2017-10-01,RI,Rhode Island,COM,commercial,285.43673,million kilowatt hours
2017-09-01,RI,Rhode Island,COM,commercial,307.98401,million kilowatt hours
2017-08-01,RI,Rhode Island,COM,commercial,338.46896,million kilowatt hours
2017-07-01,RI,Rhode Island,COM,commercial,342.52207,million kilowatt hours
2017-06-01,RI,Rhode Island,COM,commercial,325.84403,million kilowatt hours
2017-05-01,RI,Rhode Island,COM,commercial,283.08832,million kilowatt hours
2017-04-01,RI,Rhode Island,COM,commercial,266.77504,million kilowatt hours
2017-03-01,RI,Rhode Island,COM,commercial,305.17829,million kilowatt hours
