state_abbr,year,month,TMAX,TMIN,TAVG,HDD,CDD
CT,2014,1,0.41645289383401174,-10.165992484526967,-4.864986769232806,683.6374999999999,0.0
CT,2014,2,1.2857354497354498,-9.655367724867725,-4.184816137566138,589.202,0.0
CT,2014,3,4.981938264738599,-6.475908416759363,-0.746985076010382,579.4020833333333,0.0
CT,2014,4,14.505022488755623,2.0399400299850075,8.272481259370315,291.5652173913044,0.1586956521739133
CT,2014,5,20.67346528348729,8.817077014488147,14.745271148987717,109.00434782608696,9.11521739130435
CT,2014,6,25.468514869549352,13.501652983032294,19.485083926290823,13.897619047619049,58.08809523809524
CT,2014,7,27.74651515151515,16.7846394984326,22.262432079414836,0.8159090909090907,132.3272727272727
CT,2014,8,26.2656708742403,14.561837307152876,20.413754090696585,6.06304347826087,80.7195652173913
CT,2014,9,23.711363636363636,11.82,17.765681818181818,54.67727272727273,47.64772727272727
CT,2014,10,17.49056891495601,7.258263929618767,12.374416422287391,179.26136363636363,6.411363636363637
CT,2014,11,9.512204806687565,-0.7120637408568443,4.400070532915361,407.425,0.0
CT,2014,12,5.8694534050179215,-1.6433602150537634,2.113046594982079,491.89166666666665,0.0
CT,2015,1,0.3232678821879383,-9.587727910238428,-4.634261337073399,699.7565217391304,0.0
CT,2015,2,-2.64472049689441,-15.353416149068323,-8.999068322981367,755.9739130434783,0.0
CT,2015,3,4.288774193548387,-6.0317204301075265,-0.5862903225806452,553.128,0.0
CT,2015,4,14.532321547559555,2.3100131184407795,8.421167333000167,284.27916666666664,0.0
CT,2015,5,23.887818072530557,10.04579743538369,16.966807753957124,70.93478260869566,39.05652173913043
CT,2015,6,24.051005747126435,13.434295977011494,18.742650862068967,37.302083333333336,59.510416666666664
CT,2015,7,28.159966529622604,16.748716266076325,22.453142921146952,1.1229166666666668,136.98958333333334
CT,2015,8,28.401745007680493,16.438660522273427,22.420202764976956,0.5080000000000006,136.3
CT,2015,9,26.61507799671593,13.299861795292829,19.95746989600438,20.189583333333335,78.37291666666667
